cluster_id,topic,name,words,
1,aiweiwei,aiwewei,aiweiwei=aiweiweis=weiwei=aiweiweiart=artactivism,
2,aiweiwei,media,instagram=linstagram,
3,aiweiwei,exhibition,exhibition=exhibited=show=vanbiennale=visit=participant=see=museum=greycrossstudio,
4,aiweiwei,positive,happy,
5,aiweiwei,sell,bid=auction=sale=shop=auctin,
6,aiweiwei,cities,佛罗伦萨/florence=意大利/italy=madison=brooklyn=vancouver,
7,aiweiwei,film,film=films=artistfilmmaker=director,
8,aiweiwei,art,sculpture=art=portrait=aiweiweiart=prtrait=artactivism=publicart,
9,panda,place,维也纳/vienna=华盛顿/washington=多伦多/toronto=澳大利亚/australia=俄罗斯/russia=china,
10,panda,panda,大熊猫/giantpanda=panda=pandas=giant,
11,panda,zoo,动物园/zoo=zoo=熊猫馆/place in zoo for panda,
12,panda,media,ipanda=boredpanda=bored=bbcworld=youtube=纪录片/documentary=itv=video,
13,panda,positive,哈哈哈/hahaha=loves=thanks=like=love=cute=best=liked=hahaha=great=战无不胜/raccoon,
14,panda,otheranimals,小熊猫/raccoon=穿山甲/pangolin,
15,feminism,politics,共青团/communist youth league=politician=trump=合法化/legalization,
16,feminism,negative,不好意思/feel embarrassed=看不起/look down upon=他妈的/fucking=别有用心/having ulterior motives,
17,feminism,positive,哈哈哈/hahaha=有意思/interesting=love=proudly=progressive=like,
18,feminism,crime,受害者/victim=受害人/victim=当事人/party=vaw=慰安妇/comfort women,
19,feminism,gay,同性恋/homosexual=gay=antigay,
20,feminism,male,男朋友/boyfriend=men,
21,feminism,relationship,男朋友/boyfriend=女朋友/girlfriend,
22,feminism,friendship,小伙伴/friend=friends,
23,feminism,religion,preacher,
24,feminism,people,任何人/anyone=people,
25,feminism,ideology,价值观/values=意识形态/ideology=opinion,
26,feminism,trump,trump=ivanka=maga=melania,
27,feminism,movie,乘风破浪/(movie name)=电视剧/tv show,
28,feminism,feminism,feminist=equality=womensrights=男女平等/gender equality=半边天/half of the sky,
29,feminism,female,半边天/half of the sky=female=women=woman=女孩子/girls=慰安妇/comfort women,
30,feminism,person,patcondell=wednesdaymartin=trump=ivanka=melania,
31,feminism,muslim,穆斯林/muslim=伊斯兰/islam=mosque,
32,dalai,positive,compassion=beautiful=magic=kind=blessed=love=spiritual,
33,dalai,religion,buddha=buddhism=dorjeshugden=dharma=zen=sangha=rinpoche=hindu=tsemtulku,
34,dalai,tibet,tibet=tibetan=dharamshala=tibetanyouth,
35,dalai,closetibetregions,nepal=dharamshala=bhutan,
36,dalai,lifestyle,spritual=yoga=zen=vegan,
37,dalai,related posts,dogs=schnauzer=pets,
38,dalai,people,tsemtulku,
39,isis,isis,isis=isil=islamicstate,
40,isis,CIA,cia=情报局/investigation agency,
41,isis,islam,伊斯兰/islam=伊斯兰教/islam=清真寺/mosque=quran=islamic,
42,isis,terrorism,恐怖主义/terrorism=terror=taliban,
43,isis,closedcountries,以色列/israel=israel=土耳其/turkey,
44,isis,syria,叙利亚/syria=bzaah=daesh=ragga=syria,
45,isis,world,world=全世界/world,
46,isis,negative ,他妈的/fucking,
47,isis,attack,attack=fight=forces,
48,isis,war,占领区/occupied region=统治区/governed region=死里逃生/escape from death,
49,isis,army,政府军/government army=哈马斯/hamas,
50,isis,people,阿拉伯/arab=库尔德/kurd,
51,isis,hamas,哈马斯/hamas,
52,isis,iraq,iraq=巴格达/baghdad=伊拉克/iraq=摩苏尔/mosul=mosul=iraqi,
53,isis,othercountries,利比亚/libya=墨西哥/mexico,
54,twochildpolicy,twochild,双胞胎/twins=twochild=two=多一个/one more,
55,twochildpolicy,kid,小家伙/little kid=婴幼儿/infant=child=twochild=babies=children,
56,twochildpolicy,politics,合法化/legalization=zhengfu=government,
57,twochildpolicy,compulsory,forced=violating=prohibited,
58,twochildpolicy,china,china=chinese,
59,twochildpolicy,senior,老龄化/aging=老太太/old lady,
60,twochildpolicy,birthrate,出生率/birth rate=增长率/increasing rate=population=fertility,
61,twochildpolicy,birthcontrol,计划生育/birth control=vasectomy,
62,vpn,negative,好不容易/with difficulty,
63,vpn,positive,哈哈哈/hahaha=有意思/interesting=thanks=works=best,
64,vpn,spcialmedia,ins=instagram=facebook=youtube=twitter,
65,vpn,download,download,
66,vpn,vpnapp,app=master=vpnmaster=smartdns=smartdnsproxy=getflixau=androidproxylist=freeproxylist=bestvpn,
67,vpn,concert,演唱会/concert,
68,vpn,security,anonymous=cybersecurity=safety=private=safe=privacy=secure,
